id	alt
0000009	0004424
0000009	0008731
0000021	0002838
0000050	0008710
0000050	0008721
0000131	0008642
0000139	0100824
0000222	0007539
0000242	0004641
0000277	0000209
0000315	0000284
0000317	0004651
0000422	0000423
0000479	0007938
0000481	0007771
0000481	0007972
0000564	0007729
0000594	0007756
0000610	0001122
0000617	0007671
0000617	0008006
0000642	0007960
0000652	0007909
0000676	0006340
0000743	0006911
0000759	0003483
0000764	0006787
0000764	0006876
0000764	0007304
0000775	0005204
0000840	0001921
0000887	0006635
0000904	0006656
0000916	0006651
0000920	0006620
0000922	0006622
0000932	0007306
0000947	0005061
0000947	0005071
0000947	0005075
0001041	0001068
0001067	0006746
0001067	0007386
0001067	0007612
0001070	0007584
0001084	0100741
0001092	0007977
0001112	0001086
0001125	0000583
0001126	0008032
0001135	0007712
0001135	0007920
0001204	0006079
0001204	0006116
0001204	0009841
0001204	0009871
0001230	0006024
0001230	0006065
0001311	0002531
0001311	0003129
0001430	0004300
0001435	0004301
0001440	0004705
0001440	0008098
0001473	0001866
0001493	0008013
0001500	0001497
0001530	0008860
0001530	0008917
0001557	0007629
0001735	0004512
0001783	0005907
0001783	0008106
0001788	0002163
0001821	0008406
0001853	0005615
0001859	0100236
0001872	0004807
0001872	0005554
0001877	0010973
0001905	0004869
0001911	0005438
0001953	0008253
0001969	0008654
0001978	0004847
0002011	0002405
0002011	0002413
0002011	0002481
0002011	0007319
