id	descendant
0000002	0000002
0000002	0000839
0000009	0000009
0000009	0000017
0000009	0000019
0000014	0000009
0000014	0000014
0000014	0000017
0000014	0000019
0000014	0000021
0000014	0001586
0000017	0000017
0000019	0000019
0000021	0000021
0000022	0000022
0000022	0000024
0000022	0000031
0000024	0000024
0000025	0000025
0000030	0000030
0000031	0000031
0000032	0000030
0000032	0000032
0000032	0000036
0000032	0000045
0000032	0000050
0000032	0000052
0000032	0000068
0000032	0000795
0000032	0000796
0000032	0000807
0000032	0000808
0000032	0001741
0000032	0002050
0000036	0000036
0000036	0000807
0000036	0000808
0000036	0001741
0000042	0000042
0000045	0000045
0000050	0000050
0000052	0000052
0000056	0000056
0000058	0000058
0000058	0000063
0000058	0000064
0000058	0000065
0000063	0000063
0000064	0000064
0000065	0000065
0000068	0000052
0000068	0000068
0000070	0000070
0000080	0000025
0000080	0000080
0000080	0000134
0000108	0000108
0000111	0000111
0000128	0000128
0000131	0000131
0000134	0000134
0000136	0000136
0000137	0000134
0000137	0000137
0000137	0000149
0000139	0000139
0000145	0000145
0000149	0000149
0000159	0000159
0000159	0000177
0000159	0000178
0000159	0000196
0000159	0000214
0000159	0002055
0000163	0000159
0000163	0000163
0000163	0000166
0000163	0000168
0000163	0000172
0000163	0000177
0000163	0000178
0000163	0000182
0000163	0000196
0000163	0000197
0000163	0000198
0000163	0000205
0000163	0000214
0000163	0000216
0000163	0000222
0000163	0000223
0000163	0000224
0000163	0000227
0000163	0000346
0000163	0000675
0000163	0000676
0000163	0000683
0000163	0000690
0000163	0000694
0000163	0000700
0000163	0000706
0000163	0001571
0000163	0001593
0000163	0002055
0000166	0000166
0000168	0000166
0000168	0000168
0000168	0000222
0000172	0000172
0000177	0000177
0000178	0000178
0000178	0000196
0000178	0002055
0000182	0000182
0000196	0000196
0000197	0000197
0000197	0000198
0000198	0000198
0000205	0000205
0000205	0000346
0000214	0000214
0000216	0000216
0000222	0000222
0000223	0000223
0000223	0000224
0000224	0000224
0000227	0000227
0000234	0000159
0000234	0000163
0000234	0000166
0000234	0000168
0000234	0000172
0000234	0000177
0000234	0000178
0000234	0000182
0000234	0000196
