db	id	hp
ORPHA	140976	0000002
ORPHA	432	0000002
DECIPHER	45	0000009
OMIM	300076	0000009
ORPHA	100996	0000009
ORPHA	100997	0000009
ORPHA	2571	0000009
ORPHA	391487	0000009
ORPHA	488594	0000009
ORPHA	71211	0000009
ORPHA	1839	0000014
ORPHA	247604	0000014
ORPHA	2547	0000014
ORPHA	29073	0000014
ORPHA	300605	0000014
ORPHA	3339	0000014
ORPHA	49	0000014
OMIM	223360	0000017
OMIM	263800	0000017
OMIM	609727	0000017
ORPHA	178029	0000017
ORPHA	230	0000017
ORPHA	254892	0000017
ORPHA	358	0000017
ORPHA	37202	0000017
OMIM	109820	0000019
OMIM	126200	0000019
OMIM	609727	0000019
ORPHA	556	0000019
OMIM	125800	0000021
OMIM	155310	0000021
OMIM	304800	0000021
OMIM	604292	0000021
ORPHA	209905	0000021
ORPHA	2241	0000021
ORPHA	2604	0000021
ORPHA	977	0000021
OMIM	261550	0000022
ORPHA	2138	0000022
ORPHA	983	0000022
OMIM	300755	0000024
OMIM	307200	0000024
ORPHA	1546	0000024
ORPHA	2552	0000024
ORPHA	56	0000024
ORPHA	900	0000024
OMIM	243060	0000025
ORPHA	904	0000025
ORPHA	251510	0000030
ORPHA	755	0000030
ORPHA	99429	0000030
OMIM	109650	0000031
OMIM	300755	0000031
OMIM	307200	0000031
OMIM	608106	0000031
OMIM	209885	0000032
ORPHA	1756	0000036
ORPHA	201	0000036
ORPHA	3404	0000036
ORPHA	457059	0000036
ORPHA	617	0000036
ORPHA	95455	0000036
OMIM	271520	0000042
OMIM	273395	0000042
OMIM	613630	0000042
ORPHA	1299	0000042
ORPHA	325124	0000042
ORPHA	94095	0000042
ORPHA	251510	0000045
ORPHA	354	0000045
ORPHA	64755	0000045
OMIM	122470	0000050
OMIM	236670	0000050
OMIM	247990	0000050
OMIM	263650	0000050
OMIM	605627	0000050
OMIM	608091	0000050
ORPHA	1234	0000050
ORPHA	2751	0000050
ORPHA	49	0000052
ORPHA	101028	0000056
ORPHA	325345	0000056
ORPHA	93929	0000056
ORPHA	93930	0000056
ORPHA	251510	0000058
ORPHA	37202	0000058
OMIM	207410	0000063
OMIM	608688	0000063
OMIM	616067	0000063
ORPHA	250977	0000063
ORPHA	2975	0000063
ORPHA	325345	0000063
ORPHA	90794	0000063
ORPHA	90795	0000063
OMIM	176270	0000064
OMIM	224690	0000064
OMIM	269150	0000064
OMIM	613803	0000064
OMIM	614222	0000064
ORPHA	2510	0000064
ORPHA	2554	0000064
ORPHA	3107	0000064
ORPHA	324540	0000064
ORPHA	64755	0000064
OMIM	269700	0000065
OMIM	608594	0000065
ORPHA	96191	0000065
OMIM	271520	0000068
OMIM	273395	0000068
OMIM	314390	0000068
ORPHA	1896	0000068
ORPHA	2052	0000068
ORPHA	564	0000068
ORPHA	94095	0000068
OMIM	129900	0000070
OMIM	191650	0000070
OMIM	604292	0000070
OMIM	614863	0000070
ORPHA	158684	0000070
ORPHA	1934	0000070
ORPHA	261265	0000070
ORPHA	2911	0000070
ORPHA	79403	0000070
ORPHA	93929	0000070
ORPHA	1501	0000080
OMIM	174000	0000108
OMIM	219730	0000108
OMIM	243910	0000108
OMIM	256100	0000108
OMIM	603860	0000108
OMIM	604387	0000108
OMIM	606966	0000108
OMIM	606995	0000108
OMIM	613159	0000108
OMIM	613550	0000108
OMIM	241200	0000111
OMIM	601678	0000111
OMIM	241200	0000128
OMIM	263800	0000128
OMIM	601678	0000128
OMIM	607364	0000128
OMIM	612780	0000128
OMIM	618314	0000128
ORPHA	358	0000128
OMIM	150699	0000131
OMIM	150800	0000131
OMIM	612359	0000131
OMIM	615106	0000131
ORPHA	143	0000131
ORPHA	1439	0000131
ORPHA	220460	0000131
ORPHA	480536	0000131
ORPHA	523	0000131
ORPHA	99880	0000131
OMIM	208900	0000134
OMIM	240300	0000134
OMIM	607932	0000134
ORPHA	2965	0000134
ORPHA	397685	0000134
ORPHA	432	0000134
ORPHA	52901	0000134
ORPHA	755	0000134
ORPHA	91347	0000134
ORPHA	91349	0000134
OMIM	107480	0000136
OMIM	180849	0000136
OMIM	236680	0000136
OMIM	256520	0000136
OMIM	258040	0000136
OMIM	617466	0000136
