db	id	synonym	preferred
DECIPHER	15	NF1-microdeletion syndrome	TRUE
DECIPHER	45	Xq28 (MECP2) duplication	TRUE
DECIPHER	65	ATR-16 syndrome	TRUE
OMIM	100050	AARSKOG SYNDROME, AUTOSOMAL DOMINANT	TRUE
OMIM	100650	ALDEHYDE DEHYDROGENASE 2 FAMILY	TRUE
OMIM	101800	ACRODYSOSTOSIS 1, WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS1	TRUE
OMIM	101800	ADOHR	FALSE
OMIM	102500	HAJDU-CHENEY SYNDROME; HJCYS	TRUE
OMIM	102500	ACROOSTEOLYSIS WITH OSTEOPOROSIS AND CHANGES IN SKULL AND MANDIBLE	FALSE
OMIM	102500	CHENEY SYNDROME	FALSE
OMIM	102500	ARTHRODENTOOSTEODYSPLASIA	FALSE
OMIM	102500	SERPENTINE FIBULA-POLYCYSTIC KIDNEY SYNDROME; SFPKS	FALSE
OMIM	102510	ACROPECTOROVERTEBRAL DYSPLASIA, F-FORM OF	TRUE
OMIM	102700	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY	TRUE
OMIM	102800	ADENOSINE TRIPHOSPHATASE DEFICIENCY, ANEMIA DUE TO	TRUE
OMIM	103050	ADENYLOSUCCINASE DEFICIENCY	TRUE
OMIM	103420	ALACRIMA, CONGENITAL	TRUE
OMIM	103470	ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS	TRUE
OMIM	103470	WAARDENBURG SYNDROME, TYPE 2, WITH OCULAR ALBINISM, AUTOSOMAL RECESSIVE;WS2-OA	FALSE
OMIM	103900	GLUCOCORTICOID-REMEDIABLE ALDOSTERONISM	TRUE
OMIM	104000	ALOPECIA AREATA 1	TRUE
OMIM	104110	ALOPECIA, FAMILIAL FOCAL	TRUE
