db	id	label
DECIPHER	15	NF1-microdeletion syndrome
DECIPHER	45	Xq28 (MECP2) duplication
DECIPHER	65	ATR-16 syndrome
OMIM	100050	AARSKOG SYNDROME, AUTOSOMAL DOMINANT
OMIM	100650	ALDEHYDE DEHYDROGENASE 2 FAMILY
OMIM	101800	ACRODYSOSTOSIS 1, WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS1
OMIM	102500	HAJDU-CHENEY SYNDROME; HJCYS
OMIM	102510	ACROPECTOROVERTEBRAL DYSPLASIA, F-FORM OF
OMIM	102700	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY
OMIM	102800	ADENOSINE TRIPHOSPHATASE DEFICIENCY, ANEMIA DUE TO
OMIM	103050	ADENYLOSUCCINASE DEFICIENCY
OMIM	103420	ALACRIMA, CONGENITAL
OMIM	103470	ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS
OMIM	103900	GLUCOCORTICOID-REMEDIABLE ALDOSTERONISM
OMIM	104000	ALOPECIA AREATA 1
OMIM	104110	ALOPECIA, FAMILIAL FOCAL
OMIM	104200	ALPORT SYNDROME, AUTOSOMAL DOMINANT
OMIM	105120	AMYLOIDOSIS, FINNISH TYPE
OMIM	105250	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1; PLCA1
OMIM	105830	ANGELMAN SYNDROME
OMIM	106260	ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE
OMIM	107250	ANTERIOR SEGMENT DYSGENESIS 1; ASGD1
OMIM	107320	ANTIPHOSPHOLIPID SYNDROME, FAMILIAL
OMIM	107480	TOWNES-BROCKS SYNDROME 1; TBS1
OMIM	107550	AORTIC ARCH INTERRUPTION, FACIAL PALSY, AND RETINAL COLOBOMA
OMIM	107680	APOLIPOPROTEIN A-I; APOA1
OMIM	108050	ARTERITIS, FAMILIAL GRANULOMATOUS, WITH JUVENILE POLYARTHRITIS
OMIM	108120	ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A
OMIM	108145	ARTHROGRYPOSIS, DISTAL, TYPE 5; DA5
OMIM	108320	ARTICHOKE, MODIFICATION OF TASTE BY
OMIM	108650	SPASTIC ATAXIA 7, AUTOSOMAL DOMINANT; SPAX7
OMIM	108721	ATELOSTEOGENESIS, TYPE III; AOIII
OMIM	109120	AXENFELD-RIEGER ANOMALY WITH PARTIALLY ABSENT EYE MUSCLES, DISTINCTIVE FACE, HYDROCEPHALY, AND SKELETAL ABNORMALITIES
OMIM	109150	MACHADO-JOSEPH DISEASE; MJD
OMIM	109160	AZOTEMIA, FAMILIAL
OMIM	109200	ALOPECIA, ANDROGENETIC, 1
OMIM	109400	BASAL CELL NEVUS SYNDROME
OMIM	109650	BEHCET SYNDROME
OMIM	109820	BLADDER DIVERTICULUM
OMIM	110100	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS
OMIM	112450	BRACHYDACTYLY, PREAXIAL, WITH HALLUX VARUS AND THUMB ABDUCTION
OMIM	112500	BRACHYDACTYLY, TYPE A1; BDA1
OMIM	112910	BRACHYDACTYLY, TYPE A6
OMIM	113300	BRACHYDACTYLY, TYPE E
OMIM	113450	BRACHYDACTYLY-DISTAL SYMPHALANGISM SYNDROME
OMIM	113620	BRANCHIOOCULOFACIAL SYNDROME
OMIM	113650	BRANCHIOOTORENAL SYNDROME 1
OMIM	113670	BREAST, UNILATERAL GIANT
OMIM	114150	CAMPTOBRACHYDACTYLY
OMIM	115150	CARDIOFACIOCUTANEOUS SYNDROME 1; CFC1
OMIM	115250	COLLAGENOMA, FAMILIAL CUTANEOUS
OMIM	115310	PARAGANGLIOMAS 4
OMIM	115645	CATARACT, ABERRANT ORAL FRENULA, AND GROWTH RETARDATION
OMIM	115650	CATARACT, ANTERIOR POLAR, 1
OMIM	116300	CATARACT 30, MULTIPLE TYPES
OMIM	116600	CATARACT, POSTERIOR POLAR, 1 CTPA CATARACT, CONGENITAL TOTAL, INCLUDED
OMIM	116800	CATARACT, LAMELLAR
OMIM	117300	DEMENTIA, FAMILIAL DANISH
OMIM	118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT; KFS1
OMIM	118200	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1B; CMT1B
