id	name	description	level
0000002	Abnormality of body height	Deviation from the norm of height with respect to that which is expected according to age and gender norms.	3
0000009	Functional abnormality of the bladder	Dysfunction of the urinary bladder.	6
0000014	Abnormality of the bladder	An abnormality of the urinary bladder.	5
0000017	Nocturia	Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.	7
0000019	Urinary hesitancy	Difficulty in beginning the process of urination.	7
0000021	Megacystis	Dilatation of the bladder postnatally.	8
0000022	Abnormality of male internal genitalia	An abnormality of the male internal genitalia.	6
0000024	Prostatitis	The presence of inflammation of the prostate.	8
0000025	Functional abnormality of male internal genitalia	NA	6
0000030	Testicular gonadoblastoma	The presence of a gonadoblastoma of the testis.	9
0000031	Epididymitis	The presence of inflammation of the epididymis.	8
0000032	Abnormality of male external genitalia	An abnormality of male external genitalia.	6
0000036	Abnormality of the penis	NA	7
0000042	Absent external genitalia	Lack of external genitalia in a male or female individual.	6
0000045	Abnormality of the scrotum	NA	7
0000050	Hypoplastic male external genitalia	Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).	7
0000052	Urethral atresia, male	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.	9
0000056	Abnormality of the clitoris	An abnormality of the clitoris.	7
0000058	Abnormality of the labia	An anomaly of the labia, the externally visible portions of the vulva.	7
0000063	Fused labia minora	Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction.	9
0000064	Hypoplastic labia minora	NA	9
0000065	Labial hypertrophy	NA	8
0000068	Urethral atresia	Congenital anomaly characterized by closure or failure to develop an opening in the urethra.	8
0000070	Ureterocele	A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.	7
0000080	Abnormality of reproductive system physiology	An abnormal functionality of the genital system.	4
0000108	Renal corticomedullary cysts	The presence of multiple cysts at the border between the renal cortex and medulla.	8
0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia	Increased number and size of the juxtaglomerular cells.	10
0000128	Renal potassium wasting	High urine potassium in the presence of hypokalemia.	8
0000131	Uterine leiomyoma	The presence of a leiomyoma of the uterus.	10
0000134	Female hypogonadism	Decreased functionality of the female gonads, i.e., of the ovary.	9
0000136	Bifid uterus	The presence of a bifid uterus.	9
0000137	Abnormality of the ovary	An abnormality of the ovary.	7
0000139	Uterine prolapse	The presence of prolapse of the uterus.	9
0000145	Transverse vaginal septum	NA	9
0000149	Ovarian gonadoblastoma	The presence of a gonadoblastoma of the ovary.	9
0000159	Abnormal lip morphology	An abnormality of the lip.	8
0000163	Abnormal oral cavity morphology	Abnormality of the oral cavity, i.e., the opening or hollow part of the mouth.	7
0000166	Severe periodontitis	A severe form of periodontitis.	11
0000168	Abnormality of the gingiva	Any abnormality of the gingiva (also known as gums).	9
0000172	Abnormality of the uvula	Abnormality of the uvula, the conic projection from the posterior edge of the middle of the soft palate.	10
0000177	Abnormality of upper lip	An abnormality of the upper lip.	9
0000178	Abnormality of lower lip	An abnormality of the lower lip.	9
0000182	Movement abnormality of the tongue	NA	10
