id	parent
0000009	0000014
0000017	0000009
0000019	0000009
0000022	0000812
0000032	0000811
0000036	0000032
0000042	0000811
0000045	0000032
0000050	0000032
0000052	0000068
0000065	0000058
0000068	0000795
0000145	0001153
0000159	0000163
0000177	0000159
0000178	0000159
0000196	0000178
0000198	0000197
0000214	0000159
0000222	0000168
0000224	0000223
0000264	0000929
0000265	0000264
0000317	0000301
0000346	0000205
0000350	0000290
0000420	0000419
0000434	0000433
0000454	0000429
0000479	0001098
0000599	0000290
0000607	0000606
0000610	0001098
0000619	0000549
0000749	0000748
0000764	0000759
0000795	0000032
0000796	0000795
0000918	0000782
0000922	0000887
0000929	0000234
0000931	0000932
0001038	0001005
0001042	0001018
0001043	0001965
0001050	0001005
0001071	0001014
0001089	0000525
0001099	0001098
0001101	0000525
0001106	0000606
0001120	0000481
0001136	0000630
0001144	0000315
0001194	0001197
0001430	0001437
0001436	0001437
0001440	0001832
0001449	0001832
0001464	0001435
0001473	0001832
0001474	0000782
0001475	0001470
0001544	0001551
0001557	0001197
0001560	0001197
0001563	0001560
0001580	0000849
0001685	0001637
0001694	0001693
0001700	0001637
0001711	0001713
0001750	0001713
0001782	0001780
0001783	0001832
0001787	0001197
0001788	0001787
0001791	0001197
0001844	0001780
0001868	0001218
0001870	0001842
0001879	0001911
0001912	0001911
0001949	0001948
0001950	0001948
0001960	0001949
0001964	0001832
0001965	0000234
0001991	0001780
0002010	0000326
0002055	0000178
0002056	0000290
0002143	0002011
0002193	0002200
0002196	0002143
