id	synonym	type
0000002	Abnormality of body height	EXACT
0000009	Poor bladder function	EXACT
0000017	Nycturia	EXACT
0000019	Difficulty with flow	EXACT
0000024	Inflammation of the prostate	EXACT
0000030	Gonadoblastoma, male	RELATED
0000036	Abnormality of the penis	EXACT
0000042	Absent external genitalia	EXACT
0000050	Hypoplastic male genitalia	EXACT
0000050	Small male external genitalia	EXACT
0000050	Underdeveloped male genitalia	EXACT
0000056	Abnormality of the clit	EXACT
0000063	Fused inner lips	EXACT
0000064	Underdeveloped inner lips	EXACT
0000065	Enlargement of the labia	EXACT
0000065	Enlargement of the vaginal lips	EXACT
0000068	Absent urethral opening	EXACT
0000068	Urethral opening absent	EXACT
0000080	Abnormality of genital physiology	BROAD
0000080	Abnormality of reproductive system physiology	EXACT
0000080	Genital functional abnormality	EXACT
0000108	Corticomedullary renal cysts	EXACT
0000108	Renal corticomedullary cystic disease	RELATED
0000128	Renal K wasting	EXACT
0000131	Benign uterine leiomyomas	EXACT
0000131	Uterine fibroid	EXACT
0000134	Hypogonadism, female	EXACT
0000137	Abnormality of the ovaries	EXACT
0000137	Abnormality of the ovary	EXACT
0000137	Ovarian disease	RELATED
0000139	Sagging uterus	EXACT
0000145	Transverse vaginal membrane	EXACT
0000149	Gonadoblastoma, female	EXACT
0000159	Abnormal lip	EXACT
0000159	Abnormality of the lip	EXACT
0000159	Anomaly of lip	NARROW
0000159	Deformity of lip	NARROW
0000159	Lip abnormality	EXACT
0000159	Malformation of lip	NARROW
0000163	Abnormality of the oral cavity	EXACT
0000166	Severe gum disease	BROAD
0000166	Severe periodontal disease	EXACT
0000166	Severe pyorrhea	EXACT
0000168	Abnormality of the gums	EXACT
0000168	Gingival abnormality	EXACT
0000172	Abnormality of palatine uvula	EXACT
0000172	Abnormality of the uvula	EXACT
0000177	Abnormality of upper lip	EXACT
0000177	Anomaly of the upper lip	NARROW
0000177	Deformity of the upper lip	NARROW
0000177	Malformation of the upper lip	NARROW
0000178	Abnormality of lower lip	EXACT
0000178	Anomaly of the lower lip	NARROW
0000178	Deformity of the lower lip	NARROW
0000178	Malformation of the lower lip	NARROW
0000182	Abnormality of lingual movement	EXACT
0000182	Movement abnormality of the tongue	EXACT
0000197	Abnormality of parotid gland	EXACT
0000197	Anomaly of the parotid gland	EXACT
0000198	Absence of parotid duct	EXACT
0000198	Absent stensen duct	EXACT
0000198	Agenesis of parotid duct	NARROW
0000198	Agenesis of stensen duct	NARROW
0000198	Failure of development of parotid duct	EXACT
0000198	Failure of development of stensen duct	EXACT
0000198	Missing parotid duct	EXACT
0000198	Missing stensen duct	EXACT
0000205	Pursed lips	EXACT
0000205	Tightly closed lips	EXACT
0000214	Angioectasias of the lip	RELATED
0000214	Labial angioectasias	RELATED
0000214	Labial telangiectasia	EXACT
0000214	Lip telangiectases	EXACT
0000214	Spider veins of the lip	RELATED
0000214	Telangiectasia of the lips	EXACT
0000216	Secondary alveolar ridges	EXACT
0000222	Hyperkeratosis, gingival	EXACT
0000223	Abnormality of taste sensation	EXACT
0000224	Decreased taste	EXACT
0000224	Decreased taste sensation	EXACT
0000224	Lost taste	EXACT
0000227	Angioectasias of the tongue	RELATED
0000227	Lingual angioectasias	RELATED
0000227	Lingual telangiectasia	EXACT
0000227	Spider veins of the tongue	RELATED
0000234	Abnormal head	EXACT
0000234	Abnormality of the head	EXACT
0000234	Head abnormality	EXACT
0000242	Biparietal bossing	EXACT
0000242	Bossing of parietal bone	EXACT
0000245	Abnormality of the sinuses	BROAD
0000245	Abnormality of the sinuses of the head	EXACT
0000250	Dense skull cap	EXACT
0000264	Abnormality of mastoid process of temporal bone	EXACT
0000267	Abnormality of cranial vault shape	RELATED
0000267	Abnormality of cranium shape	RELATED
0000267	Abnormality of head shape	RELATED
0000267	Asymmetry of cranium	EXACT
0000267	Asymmetry of head	BROAD
0000267	Cranial vault asymmetry	EXACT
0000267	Malformation of cranial vault shape	RELATED
0000267	Malformation of cranium shape	RELATED
0000267	Malformation of head shape	RELATED
0000267	Uneven head shape	BROAD
0000273	Facial grimacing	EXACT
0000277	Abnormality of the lower jaw bone	EXACT
0000277	Abnormality of the mandible	EXACT
0000277	Anomaly of the mandible	NARROW
0000277	Deformity of the lower jaw bone	NARROW
0000277	Deformity of the mandible	NARROW
0000277	Malformation of the lower jaw bone	NARROW
0000277	Malformation of the mandible	NARROW
0000287	Facial fat hyperplasia	NARROW
0000287	Facial fat hypertrophy	NARROW
0000287	Hyperplasia of facial adipose tissue	NARROW
0000287	Hypertrophy of facial adipose tissue	NARROW
0000287	Increased amount of facial adipose tissue	EXACT
0000287	Increased amount of facial fat	EXACT
0000287	Increased volume of facial adipose tissue	EXACT
